feature,importance
cs_decompose_sigmoid_wap_trend_mock_1_wap_10mean,0.004053265173225357
vol_4min,0.0039715170018415
cs_zscore_add_ref_nearfar_deviation_wap_mid_deviation_pct,0.0039471441116965475
cs_cross_sell_dominance_ref_price_deviation_pct,0.003916014420880208
ts_bb_ma_wap_trend_mock_ratio_1_20,0.003871821011693288
ts_rolling_rank_wap_trend_mock_3_5,0.0037467381609138824
cs_decompose_sigmoid_l1_bid_ask_size_ratio_wap_5mean,0.0037223542858796778
cs_cross_price_to_depth_ask_imb1_reference_price_wap,0.0037004680205673275
ts_macd_signal_wap_trend_mock_1,0.0035404257160213206
ts_diff_signed_imbalance_ratio_5,0.0035320479566992653
cs_dev_mean_wap_trend_mock_ratio_1,0.0035148628547133076
cs_cross_ref_price_position_near_ask_impact,0.003471217457679087
cs_zscore_add_imbalance_size_imb1_wap_mid_price,0.0034513390593896524
ts_rolling_rank_imb1_near_price_wap_5,0.0033078774186128825
ts_diff_imb1_ask_size_bid_size_1,0.0030992784443869604
cs_cross_price_to_depth_ask_l1_bid_ask_liquidity_imbalance,0.002879035830186462
ts_diff_wap_trend_log_return_5_10,0.002878792944756628
ts_bb_upper_imb1_near_price_wap_20,0.0027851933386626106
cs_zscore_add_imbalance_size_imb1_reference_price_wap,0.0027173145749740633
ts_macd_hist_near_price_trend_20,0.0026565066179152514
cs_divide_imb1_near_price_wap_near_price_trend_20,0.0025749921492007246
ts_macd_hist_composite_pressure,0.0025735848748948734
ts_mean_wap_mid_deviation_pct_5,0.002564803976118608
cs_cross_imb1_reference_price_bid_price_wap_trend_velocity,0.0025589116827553853
ts_macd_price_to_depth_bid,0.0025412726189789196
cs_decompose_sigmoid_bid_notional_wap_5mean,0.002510991975938035
cs_divide_imb1_reference_price_wap_wap_position,0.0024817453417223505
cs_divide_imb1_reference_price_ask_price_wap_position,0.0024743336914890895
cs_zscore_add_imb1_wap_mid_price_imb1_reference_price_bid_price,0.0023238368891783687
ts_rolling_rank_wap_5,0.0022714966101933594
ts_macd_hist_price_to_depth_ask,0.0022359396432126443
ts_macd_hist_wap_trend_ewm_12_imb1_reference_price_wap,0.002161207596721859
ts_bb_upper_near_ask_impact_20,0.0021555730707877576
cs_cross_imb1_reference_price_bid_price_wap_trend_zscore_15,0.002149968488491541
cs_zscore_add_sell_dominance_imb1_near_price_wap,0.0021154479034818196
cs_cross_imb1_reference_price_ask_price_wap_trend_log_return_10,0.0021082182130243835
ts_diff_wap_trend_log_return_5_5,0.002105023858735222
ts_mean_wap_trend_macd_imb1_reference_price_wap_3_6_10,0.0020790113766203868
ts_bb_pct_price_to_depth_ask_20,0.002060411374875572
ts_mean_wap_trend_macd_imb1_reference_price_wap_3_6_20,0.0019555783886913017
cs_zscore_add_imb1_reference_price_ask_price_imb1_wap_mid_price,0.0019491865540854749
ts_diff_ref_price_mid_deviation_10,0.0019428550707399044
wap_trend_mock_ratio_3,0.001916886120558658
ts_diff_price_to_depth_bid_5,0.0019039342429193994
cs_cross_imb1_reference_price_ask_price_wap_trend_zscore_15,0.0018283562240407412
cs_cross_ask_size_near_price_trend_20,0.001788968309333356
cs_cross_buy_dominance_wap_trend_velocity,0.0017824857284456641
ts_macd_hist_wap_trend_mock_3,0.0017747960381745453
cs_cross_imb1_reference_price_wap_ref_price_position,0.0016664088662501095
ts_bb_pct_wap_trend_mock_3_20,0.0016638246511061642
cs_cross_wap_position_wap_trend_velocity,0.0016622421760253264
ts_bb_pct_ref_price_mid_deviation_20,0.0016290872509945118
imb1_reference_price_wap,0.0016286249476749467
cs_zscore_add_sell_dominance_imb1_reference_price_wap,0.0015997733030775492
cs_cross_ref_price_position_wap_trend_log_return_5,0.001577622494563663
cs_cross_price_to_depth_bid_buy_dominance,0.0015618367794726948
cs_cross_imbalance_size_ref_nearfar_deviation,0.0015369390832046777
cs_dev_mean_wap_trend_log_return_10,0.0015331253055415836
cs_cross_buy_dominance_market_urgency_v3,0.0014787693884683423
ts_diff_wap_trend_zscore_30_1,0.001472978117863502
cs_divide_price_to_depth_bid_wap,0.0014478196226829613
cs_divide_price_to_depth_ask_buy_dominance,0.001433725945331207
cs_zscore_add_wap_trend_ratio_10_30_composite_pressure,0.0014108659322142265
cs_zscore_add_wap_trend_zscore_15_market_urgency_v3,0.0013810559057818657
cs_cross_ref_price_position_wap_trend_log_return_10,0.0013488273558902465
cs_cross_price_to_depth_bid_imb1_reference_price_ask_price,0.001335324256003535
vol_slope_3day_5day,0.0013164476913025448
cs_zscore_add_wap_trend_slope_20_market_urgency_v3,0.0012805697722266935
ts_macd_wap_mid_deviation_pct,0.001277539255200116
ts_diff_market_urgency_v3_1,0.0012755748592334839
cs_divide_imb1_wap_mid_price_ref_price_position,0.0012389904586394718
ts_rolling_rank_price_to_depth_ask_5,0.0012311055538829026
ts_rsi_wap_14,0.0011736140148162924
ts_diff_wap_trend_hist_10_30_9_5,0.0011695533608951283
cs_zscore_add_wap_trend_hist_z_9_near_ask_impact,0.0011605397145949491
vol_slope_4min_3day,0.0011327180958121397
